lmb,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
32768,3.2164,3.2164,2.0007,9.26436,0.51891586,0.06815403,792590.28,0.0149,0.43149,0,inf,0,inf,4.81E-05,2.29E-05,9.08E-06,43.175427,46.401283,50.41908,43.17546,44.48413
16384,2.89038,2.89038,1.65806,9.587,0.51891586,0.06815403,792590.28,0.0149,0.32374,0,inf,0,inf,6.31E-05,2.58E-05,1.07E-05,41.99984,45.884957,49.690031,41.99984,43.44676
8192,2.81412,2.81412,1.56455,9.587,0.51891586,0.06815403,792590.28,0.0149,0.19337,0,inf,0,inf,0.000102907,3.00E-05,1.52E-05,39.877242,45.228018,48.175712,39.8772,41.58341
4096,2.70134,2.70134,1.42291,9.587,0.51891586,0.06815403,792590.28,0.0149,0.14356,0,inf,0,inf,0.000131363,3.16E-05,1.72E-05,38.816704,45.004024,47.649052,38.81669,40.69424
2048,2.57069,2.57069,1.3007,9.587,0.51891586,0.06815403,792590.28,0.0149,0.10316,0,inf,0,inf,0.000180916,3.39E-05,1.99E-05,37.426419,44.706449,47.012939,37.42642,39.53478
1024,2.53095,2.53095,1.22391,9.587,0.51891586,0.06815403,792590.28,0.0149,0.07178,0,inf,0,inf,0.000271968,3.74E-05,2.50E-05,35.655942,44.276116,46.0274,35.65596,38.02991
512,2.47469,2.47469,1.15622,9.587,0.51891586,0.06815403,792590.28,0.0149,0.05219,0,inf,0,inf,0.000378038,3.94E-05,2.76E-05,34.226352,44.050946,45.601987,34.22634,36.87643
256,2.44535,2.44535,1.11909,9.587,0.51891586,0.06815403,792590.28,0.0149,0.03915,0,inf,0,inf,0.000522926,4.14E-05,3.03E-05,32.817667,43.830665,45.189853,32.81762,35.74086
128,2.39063,2.39063,1.04786,9.587,0.51891586,0.06815403,792590.28,0.0149,0.03057,0,inf,0,inf,0.000697269,4.40E-05,3.30E-05,31.568541,43.566459,44.820517,31.5685,34.72483
