posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)"
1.0,83259.75,83259.75,1850948.4,22.218445000000003,1.1068500000000001,0.9734499999999999,1.0788,0.7097,0.49055,0.6798,0.0,inf,0.0,inf
0.5,83259.75,81949.45,1602859.2000000002,19.23929965,1.09525,0.9657,1.0655000000000001,0.70105,0.48125000000000007,0.67255,1.4940219999999997,92.570085,0.5316705500000001,97.05804499999999
0.25,83259.75,81424.29999999999,1358457.6,16.30442445,1.0928499999999999,0.9641,1.064,0.6774500000000001,0.4577,0.6473,4.490465499999999,87.790745,1.5295785,92.46804499999999
0.125,83259.75,81118.45,1116730.0,13.402038500000002,1.04155,0.9103500000000001,1.0127499999999998,0.6579999999999999,0.4327,0.6271499999999999,16.500484999999998,82.13868,5.533998,86.88329000000002
0.0625,83259.75,80666.9,880348.8,10.56464055,0.9343,0.8043499999999999,0.90455,0.61275,0.3808,0.5836,64.568405,76.213445,21.541815,80.980865
0.03125,83259.75,78410.35,650306.8,7.804039599999999,0.8080499999999999,0.6746,0.7783000000000001,0.51695,0.30695,0.48885,256.2305,70.22733,85.27320999999999,75.00555499999999
0.015625,83259.75,69485.15,422799.6,5.07517945,0.6455,0.5221,0.6144499999999999,0.4269,0.23125,0.39685000000000004,1014.0985000000001,64.25287,339.04295,69.0112
0.0078125,83259.75,49173.95,220819.59999999998,2.65210375,0.45135000000000003,0.32805,0.4226499999999999,0.28165,0.13065,0.25045,4074.1850000000004,58.213255000000004,1361.1219999999998,62.974785
0.00390625,83259.75,27333.800000000003,100518.0,1.2084142999999998,0.32089999999999996,0.19469999999999998,0.2883,0.16329999999999995,0.06214999999999995,0.1319,15964.925,52.282135,5525.8145,56.890299999999996
0.0019531199999999,83259.75,12858.15,42019.2,0.5055383500000001,0.2516,0.12240000000000001,0.21915,0.10144999999999996,0.03,0.07095,63642.865,46.276475000000005,22262.43,50.840825
