filedir,num_points_raw,num_points,max_num,n_parts,scale_AE,scale_SR,posQuantscale,file_size,lossless_file_size,ae_file_size,enc_time,dec_time,all_enc_time,all_dec_time,memory(GB),bpp,lossless_bpp,ae_bpp,psnr_resolution,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",d3_psnr,d3_mse,rate
/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,796217,796217,1200000.0,1,0,0,1,366304,366272,32,1.243,1.145,1.251,1.146,4.87,0.460055,0.460015,4e-05,1023,0.0,inf,0.0,inf,216.3295,0.0,0
/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,796217,796217,1200000.0,1,1,0,1,174664,106656,68008,0.842,0.909,0.85,0.911,4.87,0.219367,0.133953,0.085414,1023,0.0475046,78.2014,0.01818,82.3728,34.2555,1269.6915,1
/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,796217,796217,1200000.0,1,0,1,1,106720,106656,64,0.647,0.834,0.654,0.834,4.87,0.134034,0.133953,8e-05,1023,0.0899529,75.4286,0.0428286,78.6514,31.0878,1828.4564,2
/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,796217,796217,1200000.0,1,1,1,1,51952,33176,18776,0.507,0.727,0.515,0.775,4.87,0.065249,0.041667,0.023582,1023,0.158283,72.9744,0.0796574,75.9565,30.6721,1918.0914,3
/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,796217,796217,1200000.0,1,0,2,1,33272,33176,96,0.443,0.708,0.45,0.708,4.87,0.041788,0.041667,0.000121,1023,0.261898,70.7874,0.153489,73.108,27.0216,2920.0699,4
/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,796217,796217,1200000.0,1,1,2,1,16552,11576,4976,0.362,0.651,0.369,0.651,4.87,0.020788,0.014539,0.00625,1023,0.614177,67.0858,0.442432,68.5103,24.798,3772.0294,5
/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,796217,796217,1200000.0,1,0,3,1,11704,11576,128,0.395,0.709,0.402,0.71,4.87,0.0147,0.014539,0.000161,1023,1.00707,64.9381,0.790253,65.9911,23.3064,4478.6934,6
/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,796217,796217,1200000.0,1,1,3,1,6512,5072,1440,0.319,0.6,0.325,0.601,4.87,0.008179,0.00637,0.001809,1023,3.65698,59.3375,3.27686,59.8141,19.1954,7189.6017,7
/home/temp/wjq/dataset/shared/object/Owlii/Owlii_vox10_floor/basketball_player_vox11_00000200.ply,796217,796217,1200000.0,1,0,4,1,5232,5072,160,0.294,0.603,0.303,0.605,4.87,0.006571,0.00637,0.000201,1023,6.26691,56.9982,5.75727,57.3666,17.5965,8642.7204,8
