filename,filedir_rec,lmb,color_format,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,Qbpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
loot_vox10_1200,./output/ours_new/8ivfb/loot_vox10_1200_R1.ply,32768,yuv,2.749,2.749,1.48,9.459,0.464964,0.016573,805285,0.015,0.448,0.782,0,inf,0,inf,4.28E-05,7.26E-06,7.13E-06,43.682,51.3908,51.471,43.682,45.619
loot_vox10_1200,./output/ours_new/8ivfb/loot_vox10_1200_R2.ply,16384,yuv,2.619,2.619,1.342,9.459,0.464964,0.016573,805285,0.015,0.34,0.576,0,inf,0,inf,6.11E-05,8.61E-06,8.61E-06,42.139,50.6493,50.6521,42.139,44.267
loot_vox10_1200,./output/ours_new/8ivfb/loot_vox10_1200_R4.ply,8192,yuv,2.733,2.733,1.484,9.459,0.464964,0.016573,805285,0.015,0.25,0.361,0,inf,0,inf,8.29E-05,1.01E-05,1.04E-05,40.8141,49.9689,49.824,40.814,43.085
loot_vox10_1200,./output/ours_new/8ivfb/loot_vox10_1200_R5.ply,4096,yuv,2.594,2.594,1.336,9.459,0.464964,0.016573,805285,0.015,0.177,0.258,0,inf,0,inf,0.000123345,1.20E-05,1.22E-05,39.0888,49.2119,49.1397,39.089,41.611
loot_vox10_1200,./output/ours_new/8ivfb/loot_vox10_1200_R6.ply,2048,yuv,2.357,2.357,1.224,9.459,0.464964,0.016573,805285,0.015,0.114,0.163,0,inf,0,inf,0.000192752,1.42E-05,1.36E-05,37.15,48.4646,48.6609,37.15,40.003
loot_vox10_1200,./output/ours_new/8ivfb/loot_vox10_1200_R7.ply,1024,yuv,2.453,2.453,1.168,9.459,0.464964,0.016573,805285,0.015,0.068,0.094,0,inf,0,inf,0.000303354,1.72E-05,1.86E-05,35.1805,47.6344,47.2997,35.181,38.252
loot_vox10_1200,./output/ours_new/8ivfb/loot_vox10_1200_R8.ply,512,yuv,2.248,2.248,1.108,9.459,0.464964,0.016573,805285,0.015,0.042,0.057,0,inf,0,inf,0.000429519,2.01E-05,2.09E-05,33.6702,46.9653,46.806,33.67,36.974
loot_vox10_1200,./output/ours_new/8ivfb/loot_vox10_1200_R9.ply,256,yuv,2.199,2.199,1.068,9.459,0.464964,0.016573,805285,0.015,0.028,0.034,0,inf,0,inf,0.000598608,2.27E-05,2.33E-05,32.2286,46.433,46.3286,32.229,35.767
loot_vox10_1200,./output/ours_new/8ivfb/loot_vox10_1200_R10.ply,128,yuv,2.124,2.124,0.977,9.459,0.464964,0.016573,805285,0.015,0.022,0.025,0,inf,0,inf,0.000734267,2.65E-05,2.54E-05,31.3415,45.7739,45.9501,31.341,34.972
