filename,filedir,filedir_rec,lmb,color_format,enctime,dectime,bpp,gpcc_bpp,memory,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R1.ply,32768,yuv,25.584,17.308,0.211,0.006,3.133,0,inf,0,inf,2.61E-05,4.35E-06,4.67E-06,45.8263,53.6129,53.3057,45.826,47.735
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R2.ply,16384,yuv,24.33,17.028,0.163,0.006,3.133,0,inf,0,inf,3.48E-05,5.49E-06,5.68E-06,44.5902,52.6022,52.4572,44.59,46.575
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R3.ply,8192,yuv,24.723,16.703,0.124,0.006,3.133,0,inf,0,inf,4.93E-05,6.97E-06,7.13E-06,43.071,51.5646,51.4708,43.071,45.183
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R4.ply,8192,yuv,23.828,15.807,0.106,0.006,3.133,0,inf,0,inf,5.90E-05,6.95E-06,6.98E-06,42.2901,51.5813,51.5617,42.29,44.61
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R5.ply,4096,yuv,24.155,15.932,0.083,0.006,3.133,0,inf,0,inf,8.00E-05,8.02E-06,8.40E-06,40.9675,50.9574,50.7595,40.968,43.44
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R7.ply,2048,yuv,23.199,15.393,0.048,0.006,3.133,0,inf,0,inf,0.00014706,1.07E-05,1.09E-05,38.3251,49.7004,49.6337,38.325,41.161
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R8.ply,1024,yuv,22.515,15.707,0.037,0.006,3.133,0,inf,0,inf,0.000196938,1.29E-05,1.32E-05,37.0567,48.8999,48.8019,37.057,40.005
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R9.ply,512,yuv,22.121,15.525,0.028,0.006,3.133,0,inf,0,inf,0.000277177,1.56E-05,1.62E-05,35.5724,48.0801,47.9008,35.572,38.677
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R10.ply,512,yuv,22.159,15.248,0.021,0.006,3.133,0,inf,0,inf,0.000349792,2.05E-05,2.10E-05,34.5619,46.8764,46.7779,34.562,37.628
loot_viewdep_vox12,/home/temp/wjq/dataset/shared/object/MPEG_viewdep_vox12/viewdep_vox12/8iVFB_viewdep_vox12/loot_viewdep_vox12.ply,output/object_vox12/viewdep_vox12_part1/loot_viewdep_vox12_R11.ply,256,yuv,22.505,15.358,0.016,0.006,3.133,0,inf,0,inf,0.000440641,2.20E-05,2.54E-05,33.5592,46.5688,45.9474,33.559,36.734
