posQuantscale,num_points_raw,num_points,file_size,bpp,enc_time,enc_time_user,enc_time_wall,dec_time,dec_time_user,dec_time_wall,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)"
1.0,119951.68181818182,119951.68181818182,2422703.490909091,20.222255372727275,1.5745727272727272,1.4065181818181818,1.5468000000000002,0.9820636363636361,0.6810727272727273,0.949509090909091,0.0,inf,0.0,inf
0.5,119951.68181818182,119951.68181818182,2062578.1818181819,17.21999119090909,1.5607454545454547,1.3908,1.5275454545454543,0.9825999999999998,0.6797000000000001,0.9495000000000001,1.4998846363636362,92.55306727272728,0.5088936181818182,97.2504609090909
0.25,119951.68181818182,119947.06363636363,1701569.963636364,14.210418509090912,1.4938818181818179,1.3240272727272726,1.4624636363636363,0.9363545454545452,0.632381818181818,0.9031181818181818,4.500259909090908,87.78126636363636,1.5089825454545454,92.52716818181818
0.125,119951.68181818182,119788.62727272726,1344872.4363636365,11.236785145454546,1.3617181818181818,1.1929454545454545,1.3297181818181818,0.8570181818181819,0.5564545454545455,0.8243454545454544,16.49513545454545,82.14008727272729,5.505330636363636,86.9058590909091
0.0625,119951.68181818182,117450.49090909092,996747.3454545456,8.334472563636364,1.1950454545454545,1.0265636363636363,1.162918181818182,0.7514181818181818,0.45877272727272733,0.7185727272727273,64.51208909090909,76.21723818181819,21.47191181818182,80.99498545454546
0.03125,119951.68181818182,103623.64545454546,660284.2181818183,5.527877245454546,0.971081818181818,0.8044272727272727,0.9387545454545454,0.6078,0.3437545454545454,0.5743181818181818,256.3304363636364,70.22565272727273,85.76344727272728,74.98084545454545
0.015625,119951.68181818182,76924.00909090908,379752.6545454546,3.1878000090909087,0.7023636363636364,0.5416454545454547,0.6708181818181819,0.4272636363636364,0.21708181818181818,0.3937545454545454,1023.6746363636362,64.21208454545456,345.75729090909095,68.9264
0.0078125,119951.68181818182,47272.75454545454,187041.45454545456,1.575456,0.4971909090909091,0.33520909090909085,0.46509999999999996,0.2629090909090909,0.11456363636363633,0.23003636363636362,4085.587090909091,58.201491818181815,1383.6514545454543,62.904850909090904
0.00390625,119951.68181818182,24496.372727272726,80716.14545454546,0.6817522272727273,0.36156363636363636,0.20035454545454542,0.3301272727272727,0.15219999999999997,0.0556636363636363,0.11962727272727268,16595.54272727273,52.115193636363635,5708.478,56.75368454545455
0.0019531199999998998,119951.68181818182,10976.372727272726,31279.054545454543,0.26432147272727274,0.28697272727272727,0.1277181818181818,0.2544909090909091,0.09129090909090903,0.025618181818181783,0.05948181818181814,68238.28909090908,45.97690181818182,23210.10454545455,50.666593636363636
