num_points_raw,file_size,bpp,num_points,enc_time,all_enc_time,dec_time,all_dec_time,mseF      (p2point),"mseF,PSNR (p2point)",mseF      (p2plane),"mseF,PSNR (p2plane)",offset_mseF      (p2point),"offset_mseF,PSNR (p2point)",offset_mseF      (p2plane),"offset_mseF,PSNR (p2plane)",rate
119951.68181818182,1998000.7272727273,16.68105454545454,119951.68181818182,8.586045454545454,8.683363636363637,7.815445454545455,7.984045454545453,0.0,inf,0.0,inf,0.0,inf,0.0,inf,0.0
119951.68181818182,1681885.2363636366,14.044972727272727,119951.32727272726,7.376145454545454,7.478518181818183,6.4678545454545455,6.635609090909091,1.5000511818181819,92.55258545454545,0.49995442727272726,97.32435727272728,1.500064909090909,92.55254545454545,0.4999794181818182,97.32413636363636,1.0
119951.68181818182,1353555.3454545455,11.307427272727272,119944.31818181818,5.665818181818182,5.768181818181818,5.097927272727273,5.269872727272728,4.498783545454546,87.78269545454545,1.4999143636363639,92.55299727272728,4.483269181818182,87.79772363636363,1.4910183636363634,92.57885181818182,2.0
119951.68181818182,1053017.0181818183,8.801463636363636,119767.40000000001,4.108327272727272,4.2109000000000005,3.7304999999999997,3.8974363636363636,16.501537272727273,82.13840636363636,5.499583090909091,86.91036909090909,15.776305454545453,82.3338990909091,5.122771090909091,87.21896000000001,3.0
119951.68181818182,776543.490909091,6.496163636363636,117404.48181818183,2.604790909090909,2.7078363636363636,2.3829272727272732,2.549090909090909,64.49542272727274,76.21835818181818,21.476674545454543,80.99402727272728,53.20364272727273,77.05779545454547,16.214367272727273,82.21933545454546,4.0
119951.68181818182,519219.2,4.350354545454545,103592.91818181817,1.3397272727272727,1.4424363636363637,1.2947454545454546,1.4457818181818183,256.47476363636366,70.22321454545455,85.7927209090909,74.97930090909091,188.7746,71.56541090909091,54.89563909090909,76.9344090909091,5.0
119951.68181818182,303042.39999999997,2.5452636363636363,76888.54545454544,1.134709090909091,1.237518181818182,1.0712000000000002,1.1801454545454546,1024.9858181818183,64.20654090909092,346.29656363636366,68.9196790909091,717.0826999999999,65.77276818181818,201.65308181818185,71.29480454545454,6.0
119951.68181818182,153997.3818181818,1.2975818181818182,47303.98181818181,0.9493181818181817,1.0512454545454544,0.8826090909090911,0.9506818181818182,4098.872272727273,58.18752272727272,1392.3663636363635,62.87770909090909,2907.479181818182,59.68853363636365,743.4684181818183,65.63138818181818,7.0
119951.68181818182,70001.16363636364,0.5913272727272727,24480.745454545457,0.7918545454545455,0.8940363636363635,0.7055,0.7410090909090911,16367.298181818182,52.175151818181824,5598.907272727272,56.836179090909084,11777.06090909091,53.60892090909092,2718.5928181818185,60.00112545454545,8.0
119951.68181818182,29047.41818181818,0.2453636363636364,10958.709090909091,0.6445272727272727,0.7457,0.5467636363636363,0.5632181818181817,65812.93090909091,46.137820909090905,22718.986363636363,50.75981636363636,48438.310000000005,47.46655090909091,10263.401818181817,54.21726363636364,9.0
