filename,filedir_rec,lmb,color_format,runtime,enctime,dectime,memory,density,variance,num_points,gpcc_bpp,bpp,mseF      (p2point),"mseF,PSNR (p2point)",h.        (p2point),"h.,PSNR   (p2point)","  c[0],    F","  c[1],    F","  c[2],    F","  c[0],PSNRF","  c[1],PSNRF","  c[2],PSNRF",Y-PSNR,YUV-PSNR
longdress_vox10_1300,./output/ours_new/8ivfb/longdress_vox10_1300_R1.ply,32768,yuv,3.937,3.937,2.417,9.459,0.644628,0.018244,857966,0.018,1.893,0,inf,0,inf,7.37E-05,5.76E-05,6.39E-05,41.3234,42.3978,41.9427,41.323,41.535
longdress_vox10_1300,./output/ours_new/8ivfb/longdress_vox10_1300_R2.ply,16384,yuv,3.197,3.197,2.02,9.459,0.644628,0.018244,857966,0.018,1.48,0,inf,0,inf,0.000112798,6.68E-05,7.52E-05,39.477,41.7548,41.239,39.477,39.982
longdress_vox10_1300,./output/ours_new/8ivfb/longdress_vox10_1300_R3.ply,8192,yuv,2.866,2.866,1.675,9.459,0.644628,0.018244,857966,0.018,1.126,0,inf,0,inf,0.000178715,8.55E-05,9.54E-05,37.4784,40.6805,40.2052,37.478,38.22
longdress_vox10_1300,./output/ours_new/8ivfb/longdress_vox10_1300_R5.ply,4096,yuv,3.458,3.458,2.117,9.459,0.644628,0.018244,857966,0.018,0.648,0,inf,0,inf,0.000416532,0.000164319,0.000264933,33.8035,37.8431,35.7686,33.803,34.554
longdress_vox10_1300,./output/ours_new/8ivfb/longdress_vox10_1300_R6.ply,2048,yuv,3.102,3.102,1.76,9.459,0.644628,0.018244,857966,0.018,0.502,0,inf,0,inf,0.000523096,0.000191852,0.000298737,32.8142,37.1703,35.2471,32.814,33.663
longdress_vox10_1300,./output/ours_new/8ivfb/longdress_vox10_1300_R7.ply,1024,yuv,2.841,2.841,1.518,9.459,0.644628,0.018244,857966,0.018,0.342,0,inf,0,inf,0.00073975,0.000302829,0.000507613,31.3091,35.188,32.9447,31.309,31.998
longdress_vox10_1300,./output/ours_new/8ivfb/longdress_vox10_1300_R8.ply,512,yuv,2.913,2.913,1.542,9.459,0.644628,0.018244,857966,0.018,0.241,0,inf,0,inf,0.00103151,0.000370366,0.000617458,29.8653,34.3137,32.0939,29.865,30.7
longdress_vox10_1300,./output/ours_new/8ivfb/longdress_vox10_1300_R9.ply,256,yuv,2.674,2.674,1.369,9.459,0.644628,0.018244,857966,0.018,0.157,0,inf,0,inf,0.00155165,0.000478214,0.000788356,28.0921,33.2038,31.0328,28.092,29.099
longdress_vox10_1300,./output/ours_new/8ivfb/longdress_vox10_1300_R10.ply,128,yuv,2.704,2.704,1.367,9.459,0.644628,0.018244,857966,0.018,0.102,0,inf,0,inf,0.00223778,0.000601386,0.000966329,26.5018,32.2085,30.1488,26.502,27.671
